Id	Designator	Package	Quantity	Designation	Supplier and ref	
1	C2,C3,C4,C7,C8	SMD_Packages:SM0603_Capa	5	100n	X7R-G0603 100N	Reichelt
2	C5,C6	SMD_Packages:SM0603_Capa	2	22p	NPO-G0603 22P	Reichelt
3	C9,C12	SMD_Packages:SM0603_Capa	2	10u	X5R-G0603 10/6	Reichelt
4	C10	SMD_Packages:SM0603_Capa	1	1u	X5R-G0603 1,0/25	Reichelt
5	D1,D3	SMD_Packages:SM0603	2	Schottky	TSS 40U SMD	Reichelt
6	D2,D8	LEDs:LED-0603	2	LED_red	SMD-LED 0603 RT	Reichelt
7	D4,D5	LEDs:LED-0603	2	LED_green	SMD-LED 0603 GN	Reichelt
8	D6,D7	LEDs:LED-0603	2	LED_yellow	SMD-LED 0603 GE	Reichelt
9	F1	Fuse_Holders_and_Fuses:Fuseholder5x20_horiz_open_universal_Type-III	1	FUSE	PL OGN-22,5	Reichelt
10	F2	SMD_Packages:SM1812	1	MF-MSMF050-2	?	
11	K1,K2	Pin_Headers:Pin_Header_Straight_1x03	2	CONN_3	SL 1X50G 2,54	Reichelt
12	P1,P8	Pin_Headers:Pin_Header_Straight_1x04	2	CONN_4	-	
13	P2,P3	Pin_Headers:Pin_Header_Straight_1x10	2	CONN_10	-	
14	P4	Pin_Headers:Pin_Header_Straight_1x08	1	CONN_8	-	
15	P5,P6	Pin_Headers:Pin_Header_Straight_1x05	2	CONN_5	-	
16	P7	Pin_Headers:Pin_Header_Straight_2x03	1	CONN_3X2	MPE 087-2-006	Reichelt
17	P9,P10	Pin_Headers:Pin_Header_Straight_1x02	2	CONN_2	-	
18	Q1	SMD_Packages:SOT23GDS	1	MOSFET_P	TSM 2301 SMD	Reichelt
19	R1,R2,R7	SMD_Packages:SM0603	3	10k	SMD-0603 10K	Reichelt
20	R3	SMD_Packages:SM0603	1	1M	SMD-0603 1M	Reichelt
21	R4,R5	SMD_Packages:SM0603	2	22R	SMD-0603 22	Reichelt
22	R6,R8,R9,R10,R11,R13	SMD_Packages:SM0603	6	1k5	SMD-0603 1,5K	Reichelt
23	R12,R14	SMD_Packages:SM0603	1	0R	SMD-0603 0	Reichelt
24	SW1	Discret:SW_PUSH_SMALL	1	SW_PUSH	TASTER 9314	Reichelt
25	U1	SMD_Packages:SOT223	1	LM1117	LM 1117 MP5,0	Reichelt
26	U2,U3	SMD_Packages:SO16L	2	PCF8574	PCF 8574 T	Reichelt
27	U4,U5	ab2tech_so:AB2_SO18_W	2	ULN2803	ULN 2803A	Reichelt
28	U6	SMD_Packages:TQFP44	1	ATMEGA32U4-A		Aliexpress
29	VR1,VR2	SMD_Packages:SM0603	2	CG0603MLC-05E	NC	
30	X1	Crystals:Crystal_HC49-U_Vertical	1	16MHz	16,0000-HC49U-S	Reichelt
31	X2	Connect:USB_MINI_B	1	USBMINI		Aliexpress,Mouser
						
32		IC-Sockel 18-polig	2		GS 18	Reichelt
